Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,TotalIncome,LoanIncomeRatio,EMI,EstimatedSavings,StabilityScore,DebtStress,Loan_Status
Male,Yes,3,Graduate,No,9667,2691,620,180,1,12358,0.05016587102516385,3.4444444444444446,2471.6000000000004,3089.5,0.0002786992834731325,1
Female,No,2,Graduate,Yes,6690,7756,73,300,1,14446,0.005052952170000692,0.24333333333333335,2889.2000000000003,4815.333333333333,1.684317390000231e-05,1
Male,No,2,Graduate,No,6075,1996,522,240,1,8071,0.06466798810703667,2.175,1614.2,2690.3333333333335,0.0002694499504459861,1
Male,No,2,Not Graduate,Yes,9227,1425,449,300,1,10652,0.04214775180700272,1.4966666666666666,2130.4,3550.6666666666665,0.0001404925060233424,1
Male,No,3,Graduate,Yes,16878,8023,641,360,1,24901,0.02574090434503253,1.7805555555555554,4980.200000000001,6225.25,7.15025120695348e-05,1
Female,Yes,1,Not Graduate,Yes,3297,6849,183,180,0,10146,0.01803488715876614,1.0166666666666666,2029.2,5073.0,0.00010019381754870076,1
Male,No,3,Not Graduate,No,3631,3247,470,240,1,6878,0.06832388428550662,1.9583333333333333,1375.6000000000001,1719.5,0.0002846828511896109,1
Male,Yes,1,Graduate,Yes,16400,2592,262,180,1,18992,0.013794555889011741,1.4555555555555555,3798.4,9496.0,7.663642160562078e-05,1
Male,Yes,3,Graduate,No,18699,1490,531,360,0,20189,0.026300148588410104,1.475,4037.8,5047.25,7.305596830113918e-05,1
Female,Yes,3,Not Graduate,Yes,12832,1224,397,240,0,14056,0.028242156932489153,1.6541666666666666,2811.2000000000003,3514.0,0.00011767565388537145,1
Male,Yes,1,Not Graduate,No,8166,2587,215,300,1,10753,0.019992560907569276,0.7166666666666667,2150.6,5376.5,6.664186969189759e-05,1
Male,Yes,2,Graduate,Yes,18026,7714,397,240,1,25740,0.015422866244512645,1.6541666666666666,5148.0,8580.0,6.426194268546934e-05,1
Male,No,1,Graduate,No,13979,3064,447,180,1,17043,0.02622623797230697,2.4833333333333334,3408.6000000000004,8521.5,0.00014570132206837206,1
Male,No,0,Graduate,No,2910,7804,632,240,1,10714,0.05898273448436771,2.6333333333333333,2142.8,10714.0,0.00024576139368486546,1
Female,No,0,Not Graduate,No,14165,832,484,360,1,14997,0.032270969462595014,1.3444444444444446,2999.4,14997.0,8.964158184054171e-05,1
Male,No,1,Not Graduate,No,2034,2440,626,360,1,4474,0.13988826815642458,1.738888888888889,894.8000000000001,2237.0,0.00038857852265673494,1
Female,Yes,3,Not Graduate,No,4864,4795,270,240,0,9659,0.027950310559006212,1.125,1931.8000000000002,2414.75,0.00011645962732919254,1
Female,No,0,Not Graduate,No,18916,1646,357,360,0,20562,0.017361279968876136,0.9916666666666667,4112.400000000001,20562.0,4.82257776913226e-05,1
Female,Yes,0,Not Graduate,Yes,4842,440,515,360,1,5282,0.09748249100889646,1.4305555555555556,1056.4,5282.0,0.0002707846972469346,1
Male,No,3,Graduate,No,14965,5956,148,360,1,20921,0.007073893509224739,0.4111111111111111,4184.2,5230.25,1.9649704192290943e-05,1
Female,Yes,3,Graduate,No,6000,9721,291,300,1,15721,0.01850909553491922,0.97,3144.2000000000003,3930.25,6.16969851163974e-05,1
Male,Yes,2,Not Graduate,No,2672,2367,207,180,1,5039,0.04107142857142857,1.15,1007.8000000000001,1679.6666666666667,0.00022817460317460316,1
Female,No,3,Not Graduate,Yes,9507,6696,659,360,0,16203,0.04066897062453715,1.8305555555555555,3240.6000000000004,4050.75,0.00011296936284593653,1
Female,Yes,1,Graduate,Yes,3141,5190,603,240,1,8331,0.07237157945271243,2.5125,1666.2,4165.5,0.0003015482477196352,1
Female,Yes,1,Graduate,Yes,18355,4663,276,360,1,23018,0.011990095138798383,0.7666666666666667,4603.6,11509.0,3.330581982999551e-05,1
Female,No,2,Graduate,No,10238,7062,472,300,0,17300,0.027281660019652043,1.5733333333333333,3460.0,5766.666666666667,9.093886673217348e-05,1
Female,Yes,0,Graduate,Yes,6226,4331,121,240,1,10557,0.011460503883311234,0.5041666666666667,2111.4,10557.0,4.7752099513796806e-05,1
Female,No,0,Not Graduate,Yes,13289,9496,292,180,1,22785,0.012814886333713684,1.6222222222222222,4557.0,22785.0,7.119381296507602e-05,1
